Param1 Param2 Cluster distribution k Trace stats.attr Size Fraction
0.120480733809514 NA 14 exponential 16 gwa-t1 bot_user_iat 1 0.00574712643678161
0.0865451401270934 NA 15 exponential 16 gwa-t1 bot_user_iat 1 0.00574712643678161
24.4200319266908 2.66980953289195 1 gamma 16 gwa-t1 bot_user_iat 40 0.229885057471264
35.8045255882187 3.47602845979059 2 gamma 16 gwa-t1 bot_user_iat 1 0.00574712643678161
18.0903369541545 1.88518552283391 3 gamma 16 gwa-t1 bot_user_iat 41 0.235632183908046
23.4136437788571 2.41989017174806 4 gamma 16 gwa-t1 bot_user_iat 11 0.0632183908045977
13.8399060120172 1.29219059795545 5 gamma 16 gwa-t1 bot_user_iat 13 0.0747126436781609
24.1537104988686 2.6927464954584 6 gamma 16 gwa-t1 bot_user_iat 34 0.195402298850575
13.4506490977536 1.1002169004808 7 gamma 16 gwa-t1 bot_user_iat 4 0.0229885057471264
18.2556125880338 1.81496217962012 8 gamma 16 gwa-t1 bot_user_iat 19 0.109195402298851
23.234399245481 1.55740358627601 9 gamma 16 gwa-t1 bot_user_iat 1 0.00574712643678161
35.4985968946834 4.0366577305243 11 gamma 16 gwa-t1 bot_user_iat 2 0.0114942528735632
22.1347482055151 2.10412849975862 13 gamma 16 gwa-t1 bot_user_iat 3 0.0172413793103448
2.2505731372324 0.170293204128686 16 lognormal 16 gwa-t1 bot_user_iat 1 0.00574712643678161
11.7454236629635 0.95603422670243 10 normal 16 gwa-t1 bot_user_iat 1 0.00574712643678161
0.0998191981140113 NA 13 exponential 17 gwa-t1 bot_user_iat 1 0.00574712643678161
0.120480733809514 NA 15 exponential 17 gwa-t1 bot_user_iat 1 0.00574712643678161
24.4200319266908 2.66980953289195 1 gamma 17 gwa-t1 bot_user_iat 40 0.229885057471264
35.8045255882187 3.47602845979059 2 gamma 17 gwa-t1 bot_user_iat 1 0.00574712643678161
18.0903369541545 1.88518552283391 3 gamma 17 gwa-t1 bot_user_iat 41 0.235632183908046
23.4136437788571 2.41989017174806 4 gamma 17 gwa-t1 bot_user_iat 11 0.0632183908045977
13.8399060120172 1.29219059795545 5 gamma 17 gwa-t1 bot_user_iat 13 0.0747126436781609
24.1537104988686 2.6927464954584 6 gamma 17 gwa-t1 bot_user_iat 34 0.195402298850575
12.3760219736066 1.00502866552682 7 gamma 17 gwa-t1 bot_user_iat 3 0.0172413793103448
18.2556125880338 1.81496217962012 8 gamma 17 gwa-t1 bot_user_iat 19 0.109195402298851
23.234399245481 1.55740358627601 9 gamma 17 gwa-t1 bot_user_iat 1 0.00574712643678161
35.4985968946834 4.0366577305243 11 gamma 17 gwa-t1 bot_user_iat 2 0.0114942528735632
22.059655919228 1.8622751538354 12 gamma 17 gwa-t1 bot_user_iat 1 0.00574712643678161
22.1347482055151 2.10412849975862 14 gamma 17 gwa-t1 bot_user_iat 3 0.0172413793103448
2.2505731372324 0.170293204128686 17 lognormal 17 gwa-t1 bot_user_iat 1 0.00574712643678161
11.7454236629635 0.95603422670243 10 normal 17 gwa-t1 bot_user_iat 1 0.00574712643678161
8.45043914466891 12.2594864410155 16 weibull 17 gwa-t1 bot_user_iat 1 0.00574712643678161
0.0998191981140113 NA 14 exponential 18 gwa-t1 bot_user_iat 1 0.00574712643678161
0.120480733809514 NA 16 exponential 18 gwa-t1 bot_user_iat 1 0.00574712643678161
0.0865451401270934 NA 17 exponential 18 gwa-t1 bot_user_iat 1 0.00574712643678161
24.4200319266908 2.66980953289195 1 gamma 18 gwa-t1 bot_user_iat 40 0.229885057471264
